sample	Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
SRX456313	SRX456313_01757	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456316	SRX456316_00665	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456317	SRX456317_00813	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	496	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456318	SRX456318_02177	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456325	SRX456325_00107	vat	Vat family streptogramin A O-acetyltransferase	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	HMM	212	NA	NA	NA	NA	NA	NA	NF000311.1	Vat family streptogramin A O-acetyltransferase
SRX456326	SRX456326_01734	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456329	SRX456329_01288	ant(9)	ANT(9) family aminoglycoside nucleotidyltransferase	core	AMR	AMR	AMINOGLYCOSIDE	SPECTINOMYCIN	HMM	262	NA	NA	NA	NA	NA	NA	NF012212.0	ANT(9) family aminoglycoside nucleotidyltransferase
SRX456329	SRX456329_01794	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456330	SRX456330_02098	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	502	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456333	SRX456333_00372	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	505	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456335	SRX456335_02441	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456340	SRX456340_02398	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	500	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456355	SRX456355_00724	vat	Vat family streptogramin A O-acetyltransferase	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	HMM	212	NA	NA	NA	NA	NA	NA	NF000311.1	Vat family streptogramin A O-acetyltransferase
SRX456357	SRX456357_01247	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	508	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456358	SRX456358_00536	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTP	288	288	100.00	100.00	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
SRX456358	SRX456358_01070	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX456358	SRX456358_01563	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	EXACTP	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
SRX456359	SRX456359_02277	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	505	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456360	SRX456360_00511	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456362	SRX456362_01290	vat	Vat family streptogramin A O-acetyltransferase	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	HMM	201	NA	NA	NA	NA	NA	NA	NF000311.1	Vat family streptogramin A O-acetyltransferase
SRX456364	SRX456364_00069	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	497	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456367	SRX456367_00638	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456369	SRX456369_02849	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX456370	SRX456370_01208	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX4890322	SRX4890322_00274	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX4890324	SRX4890324_01677	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX4890325	SRX4890325_01167	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX4985825	SRX4985825_00543	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	489	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX4985825	SRX4985825_01320	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX5002688	SRX5002688_01511	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	642	639	100.00	98.44	642	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX5002688	SRX5002688_01541	fexA	chloramphenicol/florfenicol efflux MFS transporter FexA	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL/FLORFENICOL	BLASTP	475	475	100.00	97.89	475	WP_015585966.1	chloramphenicol/florfenicol efflux MFS transporter FexA	NF000218.1	chloramphenicol/florfenicol efflux MFS transporter FexA
SRX5002688	SRX5002688_01657	vat(E)	streptogramin A O-acetyltransferase Vat(E)	core	AMR	AMR	STREPTOGRAMIN	STREPTOGRAMIN	EXACTP	214	214	100.00	100.00	214	WP_002328813.1	streptogramin A O-acetyltransferase Vat(E)	NF000020.1	streptogramin A O-acetyltransferase Vat(E)
SRX5002688	SRX5002688_01755	aadD1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN/TOBRAMYCIN	BLASTP	247	253	97.63	100.00	247	WP_032542910.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia	NF000181.1	aminoglycoside O-nucleotidyltransferase ANT(4')-Ia
SRX5002688	SRX5002688_01780	lnu(C)	lincosamide nucleotidyltransferase Lnu(C)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	BLASTP	164	164	100.00	96.34	164	WP_063851341.1	lincosamide nucleotidyltransferase Lnu(C)	NF000141.1	lincosamide nucleotidyltransferase Lnu(C)
SRX5002688	SRX5002688_01836	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	MACROLIDE	MACROLIDE	BLASTP	250	250	100.00	98.40	250	WP_011018369.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NF012220.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)
SRX5002688	SRX5002688_01841	aadE	aminoglycoside 6-adenylyltransferase AadE	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	BLASTP	288	288	100.00	99.65	288	WP_001255868.1	aminoglycoside 6-adenylyltransferase AadE	NF033084.2	aminoglycoside 6-nucleotidyltransferase
SRX5002688	SRX5002688_01874	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5192505	SRX5192505_00035	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX542237	SRX542237_01720	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX547191	SRX547191_01667	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5620993	SRX5620993_00192	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5620998	SRX5620998_02098	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5621000	SRX5621000_00581	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705607	SRX5705607_00936	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705608	SRX5705608_00105	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705609	SRX5705609_00233	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705610	SRX5705610_00400	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705611	SRX5705611_00369	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705613	SRX5705613_01054	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705614	SRX5705614_01312	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705614	SRX5705614_01835	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_000691737.1	tetracycline resistance ribosomal protection protein Tet(M)	NF012155.1	tetracycline resistance ribosomal protection protein Tet(M)
SRX5705615	SRX5705615_01389	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705617	SRX5705617_00920	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705618	SRX5705618_00664	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705619	SRX5705619_00407	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5705619	SRX5705619_01310	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTP	639	639	100.00	99.84	639	WP_000691721.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX5705620	SRX5705620_01240	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	504	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5726460	SRX5726460_00320	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	652	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5766037	SRX5766037_01433	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	497	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5766040	SRX5766040_01430	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	503	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5843343	SRX5843343_00875	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5843369	SRX5843369_00432	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	645	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5843369	SRX5843369_01452	lnu(A)	lincosamide nucleotidyltransferase Lnu(A)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTP	161	161	100.00	100.00	161	WP_001829870.1	lincosamide nucleotidyltransferase Lnu(A)	NF000236.1	lincosamide nucleotidyltransferase Lnu(A)
SRX5843369	SRX5843369_01513	tet(W)	tetracycline resistance ribosomal protection protein Tet(W)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTP	639	639	100.00	100.00	639	WP_003672618.1	tetracycline resistance ribosomal protection protein Tet(W)	NF033148.1	TetM/TetW/TetO/TetS family tetracycline resistance ribosomal protection protein
SRX5949277	SRX5949277_00869	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992450	SRX5992450_00492	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992479	SRX5992479_01712	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992516	SRX5992516_00980	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992517	SRX5992517_00927	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992518	SRX5992518_00331	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992519	SRX5992519_00581	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992520	SRX5992520_00829	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992521	SRX5992521_00840	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992522	SRX5992522_00803	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992523	SRX5992523_00345	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992524	SRX5992524_00880	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992525	SRX5992525_00980	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992559	SRX5992559_00779	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992562	SRX5992562_00797	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992563	SRX5992563_00492	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992564	SRX5992564_00742	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992565	SRX5992565_01160	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992566	SRX5992566_00957	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992567	SRX5992567_00977	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992568	SRX5992568_01052	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992569	SRX5992569_00971	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992738	SRX5992738_00749	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992739	SRX5992739_00231	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992740	SRX5992740_00856	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992741	SRX5992741_00781	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992742	SRX5992742_00700	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992743	SRX5992743_00501	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992754	SRX5992754_00503	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992755	SRX5992755_00948	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992780	SRX5992780_00990	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	650	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992812	SRX5992812_01564	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992813	SRX5992813_01677	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	493	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992983	SRX5992983_01146	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992984	SRX5992984_02101	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992986	SRX5992986_00555	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992987	SRX5992987_02092	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992990	SRX5992990_02476	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992991	SRX5992991_01398	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX5992992	SRX5992992_01170	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454028	SRX6454028_00787	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454032	SRX6454032_00799	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454033	SRX6454033_01138	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454034	SRX6454034_00706	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454039	SRX6454039_00950	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454042	SRX6454042_00455	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6454044	SRX6454044_00996	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6492358	SRX6492358_01032	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	498	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6757122	SRX6757122_00192	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6757123	SRX6757123_00168	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6757124	SRX6757124_02763	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6757125	SRX6757125_02299	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
SRX6757126	SRX6757126_00168	abc-f	ABC-F type ribosomal protection protein	core	AMR	AMR	MACROLIDE	MACROLIDE	HMM	494	NA	NA	NA	NA	NA	NA	NF000355.3	ABC-F type ribosomal protection protein
